# x	y	u	v	mask
  0.2590	  6.6929	  1.0047	 -0.0269	  0.0000
  0.4973	  6.6929	  1.1713	 -1.4147	  0.0000
  0.7356	  6.6929	 -2.6619	 -1.4394	  0.0000
  0.9739	  6.6929	 -0.0328	 -0.0496	  0.0000
  1.2122	  6.6929	 -0.2066	 -0.0928	  1.0000
  1.4505	  6.6929	 -0.0615	 -0.0856	  0.0000
  1.6888	  6.6929	 -0.2351	 -0.0112	  0.0000
  1.9271	  6.6929	 -0.1933	 -0.0416	  0.0000
  2.1654	  6.6929	 -0.0612	 -0.0652	  0.0000
  2.4036	  6.6929	 -0.0716	 -0.0750	  0.0000
  2.6419	  6.6929	 -0.1695	 -0.0518	  0.0000
  2.8802	  6.6929	 -0.1770	 -0.0197	  0.0000
  3.1185	  6.6929	 -0.3403	 -0.0990	  0.0000
  3.3568	  6.6929	 -0.5698	 -0.0204	  0.0000
  3.5951	  6.6929	 -0.6648	 -0.1661	  1.0000
  3.8334	  6.6929	 -0.9255	 -0.5529	  0.0000
  4.0717	  6.6929	 -0.5445	  0.0408	  0.0000
  4.3100	  6.6929	 -0.5507	  0.4115	  0.0000
  4.5483	  6.6929	 -0.3634	  0.3063	  0.0000
  4.7866	  6.6929	 -0.5090	  0.2484	  0.0000
  5.0249	  6.6929	 -0.5443	  0.4959	  1.0000
  5.2632	  6.6929	 -0.4148	  0.0929	  0.0000
  5.5015	  6.6929	  0.0366	  0.4299	  0.0000
  5.7397	  6.6929	 -0.0251	  0.7070	  0.0000
  5.9780	  6.6929	 -0.1215	  0.4132	  1.0000
  6.2163	  6.6929	  0.2374	  0.5704	  0.0000
  6.4546	  6.6929	 -0.0024	  0.3798	  1.0000
  6.6929	  6.6929	  0.4043	  0.0693	  0.0000
  0.2590	  6.4546	  0.4518	 -0.3602	  0.0000
  0.4973	  6.4546	  0.2153	  0.2239	  0.0000
  0.7356	  6.4546	 -0.0791	  0.0148	  1.0000
  0.9739	  6.4546	 -0.0813	  0.0057	  0.0000
  1.2122	  6.4546	 -0.0008	 -0.0439	  0.0000
  1.4505	  6.4546	 -0.1250	 -0.2438	  0.0000
  1.6888	  6.4546	 -0.0830	 -0.0330	  0.0000
  1.9271	  6.4546	 -0.0400	 -0.1024	  0.0000
  2.1654	  6.4546	 -0.0960	 -0.0382	  0.0000
  2.4036	  6.4546	 -0.1342	 -0.0766	  0.0000
  2.6419	  6.4546	 -0.2169	 -0.1453	  0.0000
  2.8802	  6.4546	  1.4912	 -1.6167	  0.0000
  3.1185	  6.4546	 -0.0994	 -1.4347	  0.0000
  3.3568	  6.4546	 -0.4147	 -0.3475	  1.0000
  3.5951	  6.4546	 -0.5574	 -0.0347	  0.0000
  3.8334	  6.4546	 -0.8382	 -0.0538	  0.0000
  4.0717	  6.4546	 -0.6427	  0.0028	  0.0000
  4.3100	  6.4546	 -0.5678	  0.1162	  0.0000
  4.5483	  6.4546	 -0.6928	  0.2152	  0.0000
  4.7866	  6.4546	 -0.5723	  0.3889	  0.0000
  5.0249	  6.4546	 -0.1186	  0.5532	  0.0000
  5.2632	  6.4546	 -0.4320	  0.3713	  0.0000
  5.5015	  6.4546	 -0.1627	  0.5335	  0.0000
  5.7397	  6.4546	 -0.2207	  0.4504	  0.0000
  5.9780	  6.4546	 -0.4160	 -0.0153	  0.0000
  6.2163	  6.4546	  0.6370	  0.1657	  0.0000
  6.4546	  6.4546	  0.5514	  0.1764	  0.0000
  6.6929	  6.4546	 -0.0088	  0.3821	  1.0000
  0.2590	  6.2163	  0.2126	  0.6182	  0.0000
  0.4973	  6.2163	 -0.0727	  0.0202	  1.0000
  0.7356	  6.2163	 -2.6286	  1.2215	  0.0000
  0.9739	  6.2163	 -0.0370	 -0.0266	  0.0000
  1.2122	  6.2163	  0.0008	 -0.0540	  0.0000
  1.4505	  6.2163	 -0.1536	 -0.1112	  0.0000
  1.6888	  6.2163	 -0.0512	 -0.0250	  0.0000
  1.9271	  6.2163	 -0.0793	 -0.0594	  0.0000
  2.1654	  6.2163	 -0.0665	 -0.0825	  0.0000
  2.4036	  6.2163	  0.0949	 -0.0275	  0.0000
  2.6419	  6.2163	 -0.1196	 -0.3108	  0.0000
  2.8802	  6.2163	 -0.4686	 -0.4736	  0.0000
  3.1185	  6.2163	 -0.5543	 -0.3406	  0.0000
  3.3568	  6.2163	 -0.4728	 -0.4763	  0.0000
  3.5951	  6.2163	 -1.1137	 -0.1350	  0.0000
  3.8334	  6.2163	 -1.0924	 -0.0275	  0.0000
  4.0717	  6.2163	 -0.8801	  0.0469	  0.0000
  4.3100	  6.2163	 -0.8805	  0.3374	  0.0000
  4.5483	  6.2163	 -0.7589	  0.4667	  0.0000
  4.7866	  6.2163	 -0.7910	  0.5540	  0.0000
  5.0249	  6.2163	 -0.5392	  0.5635	  0.0000
  5.2632	  6.2163	 -0.5735	  0.5646	  0.0000
  5.5015	  6.2163	 -0.4789	  0.5392	  0.0000
  5.7397	  6.2163	 -0.2678	  0.5844	  0.0000
  5.9780	  6.2163	 -0.4497	  0.0793	  0.0000
  6.2163	  6.2163	 -0.8014	 -0.0467	  0.0000
  6.4546	  6.2163	  0.6465	  1.0244	  0.0000
  6.6929	  6.2163	  0.5496	  0.7684	  0.0000
  0.2590	  5.9780	  1.0033	  2.5960	  0.0000
  0.4973	  5.9780	  0.1003	  0.0382	  0.0000
  0.7356	  5.9780	 -0.0116	 -0.0071	  0.0000
  0.9739	  5.9780	 -0.0392	 -0.0736	  0.0000
  1.2122	  5.9780	 -0.0470	 -0.1184	  0.0000
  1.4505	  5.9780	 -0.1267	  0.0366	  0.0000
  1.6888	  5.9780	 -0.0767	 -0.0542	  0.0000
  1.9271	  5.9780	 -0.1470	 -0.0691	  0.0000
  2.1654	  5.9780	 -0.0517	 -0.0379	  0.0000
  2.4036	  5.9780	  2.8620	  1.1341	  0.0000
  2.6419	  5.9780	 -0.8949	 -0.4949	  0.0000
  2.8802	  5.9780	 -0.8959	 -0.6320	  0.0000
  3.1185	  5.9780	 -0.6316	 -0.4811	  0.0000
  3.3568	  5.9780	 -1.0930	 -0.0183	  0.0000
  3.5951	  5.9780	 -1.3219	  0.1394	  0.0000
  3.8334	  5.9780	 -1.2738	  0.1593	  0.0000
  4.0717	  5.9780	 -1.2508	  0.2186	  0.0000
  4.3100	  5.9780	 -1.2917	  0.8190	  0.0000
  4.5483	  5.9780	 -0.9958	  0.5171	  0.0000
  4.7866	  5.9780	 -0.9086	  0.7351	  0.0000
  5.0249	  5.9780	 -0.8590	  0.8113	  0.0000
  5.2632	  5.9780	 -0.7170	  0.7080	  0.0000
  5.5015	  5.9780	 -0.6103	  0.7329	  0.0000
  5.7397	  5.9780	 -0.4315	  0.6317	  0.0000
  5.9780	  5.9780	 -0.6536	  0.5863	  0.0000
  6.2163	  5.9780	 -0.4538	  0.1824	  0.0000
  6.4546	  5.9780	 -0.1998	  0.2547	  0.0000
  6.6929	  5.9780	  0.9735	  0.2338	  0.0000
  0.2590	  5.7397	  0.0317	  0.0051	  0.0000
