# x	y	u	v	mask
  8.0000	  8.0000	  0.1434	  0.0457	  0.0000
 16.0000	  8.0000	  0.1165	  0.4388	  0.0000
 24.0000	  8.0000	 -0.4962	 -0.2522	  0.0000
 32.0000	  8.0000	  0.0639	 -0.1064	  0.0000
 40.0000	  8.0000	     nan	     nan	  1.0000
 48.0000	  8.0000	     nan	     nan	  1.0000
 56.0000	  8.0000	     nan	     nan	  1.0000
 64.0000	  8.0000	     nan	     nan	  1.0000
 72.0000	  8.0000	     nan	     nan	  1.0000
 80.0000	  8.0000	     nan	     nan	  1.0000
 88.0000	  8.0000	 -0.7783	  0.8342	  0.0000
 96.0000	  8.0000	 -0.9723	  0.9571	  0.0000
104.0000	  8.0000	  0.3202	  1.4959	  0.0000
112.0000	  8.0000	 -0.1639	  0.7248	  0.0000
120.0000	  8.0000	  0.1178	 -0.0265	  0.0000
128.0000	  8.0000	  0.4944	  0.4396	  0.0000
136.0000	  8.0000	 -0.0071	  0.2065	  0.0000
144.0000	  8.0000	 -0.4983	 -0.3101	  0.0000
152.0000	  8.0000	  0.1789	 -0.3276	  0.0000
160.0000	  8.0000	 -0.0496	 -0.1522	  0.0000
168.0000	  8.0000	 -0.0373	  0.0711	  0.0000
176.0000	  8.0000	  0.0356	  0.1579	  0.0000
184.0000	  8.0000	 -0.0417	 -0.0484	  0.0000
192.0000	  8.0000	 -0.2434	 -0.2273	  0.0000
200.0000	  8.0000	  0.0403	 -0.2550	  0.0000
208.0000	  8.0000	 -2.0854	  0.6419	  0.0000
216.0000	  8.0000	 -4.6344	 -4.1895	  0.0000
224.0000	  8.0000	 -3.9607	  3.1643	  0.0000
232.0000	  8.0000	 -2.0920	  0.1797	  1.0000
240.0000	  8.0000	-25.3346	-12.4034	  0.0000
248.0000	  8.0000	 -7.0627	 -9.5750	  0.0000
256.0000	  8.0000	  1.9041	  2.7460	  0.0000
264.0000	  8.0000	 -0.3057	  0.9170	  0.0000
272.0000	  8.0000	 -6.3152	 -0.8537	  0.0000
280.0000	  8.0000	 -4.8243	 -0.5973	  0.0000
288.0000	  8.0000	  8.3303	 -1.5066	  0.0000
296.0000	  8.0000	  1.3625	  0.6170	  0.0000
304.0000	  8.0000	 -2.1776	  0.3673	  0.0000
312.0000	  8.0000	 -2.0608	  1.0619	  0.0000
320.0000	  8.0000	 -0.8209	  0.2597	  0.0000
328.0000	  8.0000	 -8.7924	 -0.7369	  0.0000
336.0000	  8.0000	 -8.1144	  0.3570	  0.0000
344.0000	  8.0000	 -1.8148	  0.1484	  0.0000
352.0000	  8.0000	 -0.4574	 -0.8788	  0.0000
360.0000	  8.0000	 -8.4875	 -0.9513	  0.0000
368.0000	  8.0000	  2.4300	 -2.5067	  0.0000
376.0000	  8.0000	  2.2579	 -6.2127	  0.0000
384.0000	  8.0000	 -5.2872	 -4.6422	  0.0000
392.0000	  8.0000	  0.7013	 -4.9075	  0.0000
400.0000	  8.0000	 -3.6696	 -5.6631	  0.0000
408.0000	  8.0000	 -4.2264	 -7.2641	  0.0000
416.0000	  8.0000	 -3.1192	 -8.5024	  0.0000
424.0000	  8.0000	 -3.6188	 -2.3799	  0.0000
432.0000	  8.0000	 -3.3098	  1.7101	  0.0000
440.0000	  8.0000	 -1.8063	 -0.2651	  0.0000
448.0000	  8.0000	  0.1339	 -0.0097	  0.0000
456.0000	  8.0000	  0.5025	 -0.1629	  0.0000
464.0000	  8.0000	  0.2899	 -0.1111	  0.0000
472.0000	  8.0000	  0.2432	 -0.0833	  0.0000
480.0000	  8.0000	 -0.0979	 -0.2213	  0.0000
488.0000	  8.0000	 -0.3303	 -0.1875	  0.0000
496.0000	  8.0000	 -0.0905	  0.1121	  0.0000
504.0000	  8.0000	  0.1593	 -0.4783	  0.0000
512.0000	  8.0000	 -0.6879	 -0.5194	  1.0000
520.0000	  8.0000	     nan	     nan	  1.0000
528.0000	  8.0000	     nan	     nan	  1.0000
536.0000	  8.0000	     nan	     nan	  1.0000
544.0000	  8.0000	     nan	     nan	  1.0000
552.0000	  8.0000	     nan	     nan	  1.0000
560.0000	  8.0000	     nan	     nan	  1.0000
568.0000	  8.0000	     nan	     nan	  1.0000
576.0000	  8.0000	     nan	     nan	  1.0000
584.0000	  8.0000	     nan	     nan	  1.0000
592.0000	  8.0000	     nan	     nan	  1.0000
600.0000	  8.0000	     nan	     nan	  1.0000
608.0000	  8.0000	     nan	     nan	  1.0000
616.0000	  8.0000	     nan	     nan	  1.0000
624.0000	  8.0000	     nan	     nan	  1.0000
632.0000	  8.0000	     nan	     nan	  1.0000
640.0000	  8.0000	     nan	     nan	  1.0000
648.0000	  8.0000	 -0.2516	 -0.4909	  0.0000
656.0000	  8.0000	  0.1191	 -0.0197	  0.0000
664.0000	  8.0000	  0.4773	  0.1340	  0.0000
  8.0000	 16.0000	  0.4698	 -0.6041	  0.0000
 16.0000	 16.0000	  0.1143	 -0.3065	  0.0000
 24.0000	 16.0000	 -0.9932	 -1.0382	  0.0000
 32.0000	 16.0000	 -0.1705	 -2.0360	  0.0000
 40.0000	 16.0000	     nan	     nan	  1.0000
 48.0000	 16.0000	     nan	     nan	  1.0000
 56.0000	 16.0000	     nan	     nan	  1.0000
 64.0000	 16.0000	     nan	     nan	  1.0000
 72.0000	 16.0000	     nan	     nan	  1.0000
 80.0000	 16.0000	  0.1452	 -1.0521	  0.0000
 88.0000	 16.0000	 -0.5397	 -0.5462	  0.0000
 96.0000	 16.0000	 -0.4218	 -0.3675	  0.0000
104.0000	 16.0000	  0.1013	 -0.5362	  0.0000
112.0000	 16.0000	 -0.0296	 -0.6020	  0.0000
120.0000	 16.0000	 -0.5750	 -0.2617	  0.0000
128.0000	 16.0000	  0.0817	 -0.0815	  0.0000
136.0000	 16.0000	  0.1835	 -0.0970	  0.0000
144.0000	 16.0000	 -0.6462	 -0.1028	  0.0000
152.0000	 16.0000	  0.2272	 -0.1534	  0.0000
160.0000	 16.0000	 -0.0386	 -0.3334	  0.0000
168.0000	 16.0000	 -0.1245	 -0.4133	  0.0000
